ID_order,Company_Brand,Income,Time_start,Time_finish,Priority,Perishable,Fragile,Weight,Time_spent,Time_priority,Count,Shelf_Cluster
18,Uniqlo,160.35,2024-02-02 05:31:00,2024-02-06 15:43:00,1,0,1,4,382320.0,2.615603118845159e-06,158,1
19,Pringles,25.14,2024-02-02 06:35:00,2024-02-05 00:04:00,1,1,0,16,235740.0,4.241943488828841e-06,323,3
20,361 Du KIDS,43.55,2024-02-02 06:43:00,2024-02-04 06:34:00,0,0,0,8,172260.0,5.805144519072802e-06,58,4
21,PepsiCo,9.05,2024-02-02 06:56:00,2024-02-07 11:57:00,0,1,1,14,450060.0,2.2219210284828057e-06,626,2
22,Shunchen Sports Jia,64.88,2024-02-02 07:10:00,2024-02-03 23:16:00,0,0,0,5,144360.0,6.927078643123835e-06,185,4
23,PepsiCo,30.27,2024-02-02 07:38:00,2024-02-08 06:08:00,1,1,1,2,513000.0,1.949313938959183e-06,626,2
24,Uniqlo,188.02,2024-02-02 07:42:00,2024-02-06 16:24:00,1,0,0,16,376920.0,2.6530758434791375e-06,158,9
25,PepsiCo,11.02,2024-02-02 09:09:00,2024-02-04 14:12:00,0,1,1,19,190980.0,5.2361229651117125e-06,626,2
26,PepsiCo,22.23,2024-02-02 09:13:00,2024-02-03 19:05:00,1,1,1,12,121920.0,8.202032463644491e-06,626,2
27,Coca-Cola,23.39,2024-02-02 09:50:00,2024-02-05 17:10:00,0,1,0,11,285600.0,3.5013883004611327e-06,264,3
28,Zara,88.93,2024-02-02 11:50:00,2024-02-04 13:12:00,0,0,0,13,177720.0,5.626797058310498e-06,153,4
29,Coca-Cola,12.64,2024-02-02 13:02:00,2024-02-08 20:53:00,0,1,1,19,546660.0,1.8292872548069096e-06,264,3
30,361 Du KIDS,42.33,2024-02-02 13:52:00,2024-02-06 21:53:00,1,0,0,5,374460.0,2.6705050726243855e-06,58,4
31,PepsiCo,16.25,2024-02-02 14:42:00,2024-02-06 06:42:00,0,1,0,21,316800.0,3.156555692690364e-06,626,2
32,PepsiCo,28.42,2024-02-02 15:13:00,2024-02-06 15:14:00,1,1,0,12,345660.0,2.8930078892325137e-06,626,2
33,Pringles,11.76,2024-02-02 15:54:00,2024-02-07 02:56:00,0,1,0,16,385320.0,2.595238774943489e-06,323,3
34,Coca-Cola,12.38,2024-02-02 17:12:00,2024-02-04 19:43:00,0,1,0,16,181860.0,5.498705054959557e-06,264,3
35,PepsiCo,8.99,2024-02-02 17:44:00,2024-02-08 15:10:00,0,1,1,17,509160.0,1.964015311463368e-06,626,2
36,Uniqlo,104.97,2024-02-02 18:15:00,2024-02-08 19:14:00,1,0,0,2,521940.0,1.9159253632115507e-06,158,1
37,Zara,87.74,2024-02-02 18:29:00,2024-02-05 18:20:00,0,0,1,5,258660.0,3.866064076145998e-06,153,4
38,PepsiCo,12.37,2024-02-02 19:06:00,2024-02-09 01:13:00,0,1,0,14,540420.0,1.8504092179985603e-06,626,2
39,PepsiCo,22.24,2024-02-02 19:34:00,2024-02-08 21:09:00,0,1,0,17,524100.0,1.9080291775821836e-06,626,2
40,PepsiCo,33.26,2024-02-02 20:47:00,2024-02-03 17:51:00,0,1,1,14,75840.0,1.3185480149259636e-05,626,5
41,Gap,119.6,2024-02-02 20:53:00,2024-02-05 18:42:00,0,0,1,9,251340.0,3.9786584759350845e-06,77,1
42,PepsiCo,13.18,2024-02-02 21:30:00,2024-02-07 23:59:00,0,1,0,4,440940.0,2.267877108275257e-06,626,2
43,Pringles,12.2,2024-02-02 22:08:00,2024-02-08 02:17:00,1,1,0,14,446940.0,2.237431786298415e-06,323,3
44,Zara,89.16,2024-02-02 22:26:00,2024-02-03 13:19:00,0,0,0,4,53580.0,1.8663332151322296e-05,153,6
45,PepsiCo,12.52,2024-02-02 22:47:00,2024-02-09 03:25:00,1,1,1,2,535080.0,1.8688759271960693e-06,626,2
46,PepsiCo,27.4,2024-02-02 23:45:00,2024-02-04 23:25:00,0,1,1,11,171600.0,5.8274718678795575e-06,626,2
47,Pringles,27.66,2024-02-03 00:56:00,2024-02-06 09:46:00,0,1,1,11,291000.0,3.4364143078546124e-06,323,3
48,Uniqlo,180.22,2024-02-03 01:48:00,2024-02-09 11:25:00,0,0,0,15,553020.0,1.8082495963082777e-06,158,9
49,Pringles,14.22,2024-02-03 02:20:00,2024-02-07 09:10:00,0,1,1,15,370200.0,2.7012352748912077e-06,323,3
50,PepsiCo,13.24,2024-02-03 02:40:00,2024-02-09 05:35:00,0,1,0,5,528900.0,1.8907130067819875e-06,626,2
51,Zara,63.76,2024-02-03 03:51:00,2024-02-05 21:54:00,0,0,0,7,237780.0,4.205550485530803e-06,153,4
52,Uniqlo,155.83,2024-02-03 04:34:00,2024-02-06 09:17:00,1,0,0,15,276180.0,3.6208138865454175e-06,158,1
53,361 Du KIDS,64.99,2024-02-03 04:37:00,2024-02-04 00:36:00,0,0,1,16,71940.0,1.3900279395615853e-05,58,8
54,Pringles,12.52,2024-02-03 04:44:00,2024-02-04 19:55:00,0,1,0,3,141060.0,7.089131652263914e-06,323,3
55,Zara,101.42,2024-02-03 05:08:00,2024-02-09 02:19:00,1,0,1,4,508260.0,1.9674930793430934e-06,153,1
56,PepsiCo,9.73,2024-02-03 05:10:00,2024-02-05 13:46:00,0,1,1,13,203760.0,4.907710503972792e-06,626,2
57,Zara,137.55,2024-02-03 08:10:00,2024-02-08 05:34:00,0,0,1,6,422640.0,2.366074280535963e-06,153,1
58,PepsiCo,18.79,2024-02-03 09:37:00,2024-02-09 14:30:00,1,1,0,12,535980.0,1.8657377780182506e-06,626,2
59,Pringles,27.48,2024-02-03 10:56:00,2024-02-08 22:35:00,0,1,0,6,473940.0,2.109967274407574e-06,323,3
60,Coca-Cola,18.45,2024-02-03 10:58:00,2024-02-09 06:24:00,1,1,1,8,501960.0,1.9921866439823012e-06,264,3
61,Uniqlo,147.59,2024-02-03 11:17:00,2024-02-07 21:44:00,1,0,1,9,383220.0,2.6094603375076e-06,158,1
62,Zara,74.93,2024-02-03 12:00:00,2024-02-04 12:59:00,0,0,0,11,89940.0,1.1118399839895042e-05,153,8
63,Coca-Cola,13.24,2024-02-03 17:03:00,2024-02-09 13:58:00,0,1,0,15,507300.0,1.971216299593338e-06,264,3
64,Gap,142.89,2024-02-03 17:23:00,2024-02-09 22:57:00,1,0,0,15,538440.0,1.8572136965795695e-06,77,1
65,Pringles,24.29,2024-02-03 17:24:00,2024-02-05 06:59:00,1,1,1,9,135300.0,7.390928374513123e-06,323,8
66,Shunchen Sports Jia,63.66,2024-02-03 17:50:00,2024-02-06 00:46:00,1,0,1,9,197760.0,5.0566087347859285e-06,185,4
67,Zara,145.4,2024-02-03 19:01:00,2024-02-07 04:18:00,0,0,0,20,292620.0,3.4173897293769072e-06,153,1
68,PepsiCo,14.66,2024-02-03 19:10:00,2024-02-09 01:29:00,0,1,1,18,454740.0,2.199053966983404e-06,626,2
69,Pringles,23.14,2024-02-03 19:33:00,2024-02-09 12:16:00,1,1,0,4,492180.0,2.0317728640479823e-06,323,3
70,Coca-Cola,21.45,2024-02-03 20:07:00,2024-02-09 22:30:00,1,1,1,4,526980.0,1.8976016213108252e-06,264,3
71,Coca-Cola,15.71,2024-02-03 21:20:00,2024-02-08 18:04:00,0,1,0,20,420240.0,2.3795869512969937e-06,264,3
72,NIKE,183.36,2024-02-04 00:24:00,2024-02-04 21:30:00,1,0,0,11,75960.0,1.3164650281065284e-05,60,7
73,Coca-Cola,15.06,2024-02-04 01:22:00,2024-02-08 23:32:00,1,1,1,20,425400.0,2.3507231999924776e-06,264,3
74,Pringles,17.02,2024-02-04 02:01:00,2024-02-09 11:30:00,1,1,0,13,466140.0,2.1452736403791986e-06,323,3
75,PepsiCo,26.03,2024-02-04 03:21:00,2024-02-10 04:12:00,1,1,0,15,521460.0,1.917688954686928e-06,626,2
76,Shunchen Sports Jia,58.04,2024-02-04 03:33:00,2024-02-08 17:07:00,0,0,0,12,394440.0,2.5352334062635477e-06,185,4
77,Coca-Cola,9.79,2024-02-04 04:33:00,2024-02-05 16:42:00,1,1,0,5,130140.0,7.683973536395141e-06,264,8
78,Zara,148.83,2024-02-04 04:58:00,2024-02-10 03:17:00,0,0,0,12,512340.0,1.9518250540167583e-06,153,1
79,Pringles,15.84,2024-02-04 07:25:00,2024-02-06 12:17:00,0,1,1,3,190320.0,5.254280925383957e-06,323,3
80,361 Du KIDS,60.0,2024-02-04 07:47:00,2024-02-09 08:30:00,1,0,1,8,434580.0,2.301067004770112e-06,58,4
81,Pringles,25.87,2024-02-04 08:01:00,2024-02-07 07:30:00,0,1,0,14,257340.0,3.8858945912233184e-06,323,3
82,H&M,136.78,2024-02-04 08:30:00,2024-02-10 17:41:00,1,0,1,1,551460.0,1.8133648617037287e-06,96,1
83,PepsiCo,17.81,2024-02-04 08:36:00,2024-02-06 09:44:00,0,1,1,4,176880.0,5.653518467218073e-06,626,2
84,Pringles,10.73,2024-02-04 09:23:00,2024-02-09 19:13:00,1,1,1,14,467400.0,2.1394905017319175e-06,323,3
85,Zara,114.94,2024-02-04 11:00:00,2024-02-10 13:46:00,1,0,1,2,528360.0,1.892645369359207e-06,153,1
86,PepsiCo,8.69,2024-02-04 11:01:00,2024-02-07 12:12:00,1,1,0,6,263460.0,3.795628195444487e-06,626,2
87,Pringles,20.2,2024-02-04 11:01:00,2024-02-06 10:47:00,1,1,0,1,171960.0,5.8152720675036784e-06,323,3
88,Uniqlo,144.97,2024-02-04 11:21:00,2024-02-09 18:02:00,1,0,0,19,456060.0,2.1926891358831384e-06,158,1
89,PepsiCo,14.78,2024-02-04 12:34:00,2024-02-05 14:58:00,1,1,1,14,95040.0,1.0521774812975452e-05,626,2
90,PepsiCo,22.81,2024-02-04 13:01:00,2024-02-07 12:31:00,0,1,0,9,257400.0,3.884988791807336e-06,626,2
91,Zara,121.35,2024-02-04 13:38:00,2024-02-06 22:04:00,0,0,0,8,203160.0,4.922204556976979e-06,153,1
92,Zara,73.94,2024-02-04 15:31:00,2024-02-05 11:23:00,0,0,1,15,71520.0,1.398190741180912e-05,153,8
93,Shunchen Sports Jia,69.58,2024-02-04 16:28:00,2024-02-10 02:30:00,0,0,1,10,468120.0,2.1361998286767736e-06,185,4
94,Shunchen Sports Jia,77.24,2024-02-04 17:34:00,2024-02-06 18:20:00,1,0,1,3,175560.0,5.696025882741611e-06,185,4
95,Gap,121.11,2024-02-04 17:54:00,2024-02-05 04:28:00,0,0,1,2,38040.0,2.6287426723798008e-05,77,6
96,Pringles,20.95,2024-02-04 19:08:00,2024-02-06 06:28:00,0,1,0,1,127200.0,7.86157341530334e-06,323,8
97,PepsiCo,17.83,2024-02-04 19:24:00,2024-02-08 05:13:00,1,1,1,19,294540.0,3.3951130742409378e-06,626,2
98,Pringles,10.77,2024-02-04 19:41:00,2024-02-06 06:06:00,0,1,1,11,123900.0,8.07095987925844e-06,323,8
99,H&M,105.39,2024-02-04 20:05:00,2024-02-10 04:52:00,1,0,0,15,463620.0,2.1569342199770934e-06,96,1
100,Shunchen Sports Jia,53.64,2024-02-04 21:09:00,2024-02-10 09:07:00,0,0,0,16,475080.0,2.1049042163336357e-06,185,4
101,PepsiCo,20.35,2024-02-04 21:22:00,2024-02-08 02:09:00,0,1,1,2,276420.0,3.617670148071239e-06,626,2
102,Shunchen Sports Jia,60.16,2024-02-04 23:50:00,2024-02-07 10:36:00,0,0,0,3,211560.0,4.7267691115092105e-06,185,4
103,Shunchen Sports Jia,72.58,2024-02-05 00:16:00,2024-02-09 18:43:00,0,0,1,9,412020.0,2.4270607566119203e-06,185,4
104,H&M,111.24,2024-02-05 01:03:00,2024-02-11 01:52:00,1,0,1,18,521340.0,1.9181303599755245e-06,96,1
105,PepsiCo,31.45,2024-02-05 01:06:00,2024-02-08 04:05:00,1,1,1,5,269940.0,3.704513208441845e-06,626,2
106,Coca-Cola,20.07,2024-02-05 01:38:00,2024-02-09 06:30:00,1,1,1,12,363120.0,2.753902968982791e-06,264,3
107,Pringles,14.99,2024-02-05 03:41:00,2024-02-10 21:43:00,0,1,0,13,496920.0,2.012392311856412e-06,323,3
108,PepsiCo,21.87,2024-02-05 04:17:00,2024-02-06 11:41:00,0,1,0,9,113040.0,8.846347785316831e-06,626,2
109,PepsiCo,22.13,2024-02-05 04:53:00,2024-02-07 08:52:00,1,1,1,14,187140.0,5.343564478120775e-06,626,2
110,NIKE,211.97,2024-02-05 09:03:00,2024-02-06 04:03:00,1,0,1,12,68400.0,1.4619669303080364e-05,60,7
111,Shunchen Sports Jia,79.95,2024-02-05 09:28:00,2024-02-07 06:57:00,0,0,0,5,163740.0,6.107205892232245e-06,185,4
112,PepsiCo,21.9,2024-02-05 09:42:00,2024-02-11 06:54:00,0,1,1,6,508320.0,1.9672608450172235e-06,626,2
113,H&M,126.65,2024-02-05 09:44:00,2024-02-08 23:41:00,0,0,1,13,309420.0,3.2318426997521175e-06,96,1
114,PepsiCo,22.04,2024-02-05 09:59:00,2024-02-07 17:17:00,1,1,0,20,199080.0,5.0230810574590245e-06,626,2
115,PepsiCo,25.24,2024-02-05 12:21:00,2024-02-08 19:16:00,0,1,0,8,284100.0,3.519874974040922e-06,626,2
116,Pringles,17.86,2024-02-05 14:20:00,2024-02-06 07:42:00,1,1,0,6,62520.0,1.5994625805729276e-05,323,8
117,Pringles,15.87,2024-02-05 14:22:00,2024-02-11 02:38:00,0,1,0,21,476160.0,2.1001299980468792e-06,323,3
118,Pringles,29.6,2024-02-05 15:19:00,2024-02-07 09:25:00,1,1,1,8,151560.0,6.5980034441577976e-06,323,3
119,PepsiCo,14.01,2024-02-05 15:32:00,2024-02-11 22:04:00,1,1,0,9,541920.0,1.8452874127409715e-06,626,2
120,Pringles,23.94,2024-02-05 16:14:00,2024-02-07 00:58:00,0,1,1,15,117840.0,8.486010811177774e-06,323,8
121,Pringles,28.27,2024-02-05 16:44:00,2024-02-06 20:09:00,1,1,1,20,98700.0,1.0131609608818554e-05,323,8
122,Shunchen Sports Jia,58.75,2024-02-05 17:00:00,2024-02-10 00:44:00,0,0,0,3,373440.0,2.677799170417817e-06,185,4
123,Coca-Cola,18.57,2024-02-05 17:10:00,2024-02-12 01:58:00,0,1,1,21,550080.0,1.8179140890159814e-06,264,3
124,H&M,135.58,2024-02-05 17:16:00,2024-02-10 02:57:00,0,0,1,14,380460.0,2.628390294931675e-06,96,1
125,Shunchen Sports Jia,67.4,2024-02-05 17:44:00,2024-02-09 13:46:00,1,0,0,9,331320.0,3.0182210001780752e-06,185,4
126,Uniqlo,183.74,2024-02-05 17:58:00,2024-02-06 23:10:00,1,0,1,4,105120.0,9.512847100008562e-06,158,7
127,Uniqlo,141.9,2024-02-05 18:35:00,2024-02-10 04:45:00,1,0,0,11,382200.0,2.61642434216551e-06,158,1
128,PepsiCo,31.83,2024-02-05 20:12:00,2024-02-09 00:54:00,0,1,1,15,276120.0,3.6216006750663657e-06,626,2
129,Uniqlo,177.9,2024-02-05 20:41:00,2024-02-06 18:31:00,0,0,0,19,78600.0,1.2722484446762764e-05,158,7
130,PepsiCo,25.96,2024-02-05 21:02:00,2024-02-09 20:58:00,1,1,1,10,345360.0,2.8955209186908773e-06,626,2
131,Uniqlo,197.67,2024-02-05 21:04:00,2024-02-10 10:09:00,1,0,0,12,392700.0,2.5464666501995157e-06,158,9
132,Gap,133.23,2024-02-05 21:17:00,2024-02-10 23:12:00,1,0,1,5,438900.0,2.278418139853862e-06,77,1
133,Coca-Cola,17.36,2024-02-05 22:34:00,2024-02-11 19:18:00,0,1,1,3,506640.0,1.9737841982784656e-06,264,3
134,PepsiCo,31.85,2024-02-05 22:40:00,2024-02-06 10:37:00,0,1,0,19,43020.0,2.324446200692685e-05,626,5
135,Zara,64.39,2024-02-06 01:17:00,2024-02-11 23:03:00,1,0,0,16,510360.0,1.9593973677455763e-06,153,4
136,PepsiCo,24.38,2024-02-06 02:25:00,2024-02-07 06:40:00,0,1,1,11,101700.0,9.832745007423722e-06,626,2
137,Coca-Cola,20.66,2024-02-06 02:37:00,2024-02-09 09:28:00,0,1,1,13,283860.0,3.5228509728352962e-06,264,3
138,PepsiCo,24.26,2024-02-06 04:11:00,2024-02-07 22:25:00,1,1,1,4,152040.0,6.577173262475253e-06,626,2
139,H&M,90.95,2024-02-06 04:29:00,2024-02-11 15:28:00,0,0,1,20,471540.0,2.120706364876013e-06,96,4
140,Coca-Cola,18.07,2024-02-06 04:56:00,2024-02-08 17:21:00,1,1,0,10,217500.0,4.597680010666618e-06,264,3
141,PepsiCo,10.3,2024-02-06 06:11:00,2024-02-06 22:03:00,1,1,1,11,57120.0,1.7506696311339088e-05,626,5
142,PepsiCo,15.57,2024-02-06 06:55:00,2024-02-07 13:52:00,0,1,0,5,111420.0,8.974968811983378e-06,626,2
143,PepsiCo,7.78,2024-02-06 07:25:00,2024-02-08 18:17:00,0,1,0,15,211920.0,4.718739530296667e-06,626,2
144,Zara,60.26,2024-02-06 07:42:00,2024-02-11 01:46:00,1,0,1,10,410640.0,2.4352171361359436e-06,153,4
145,PepsiCo,33.5,2024-02-06 09:01:00,2024-02-08 15:08:00,0,1,1,15,194820.0,5.132916882676919e-06,626,2
146,Uniqlo,170.2,2024-02-06 09:17:00,2024-02-07 11:50:00,1,0,1,12,95580.0,1.0462330379468723e-05,158,7
147,Zara,73.24,2024-02-06 09:19:00,2024-02-08 13:11:00,1,0,0,7,186720.0,5.355583999657243e-06,153,4
148,Shunchen Sports Jia,68.67,2024-02-06 11:00:00,2024-02-07 10:05:00,0,0,1,16,83100.0,1.2033549536106666e-05,185,8
149,PepsiCo,31.66,2024-02-06 11:06:00,2024-02-10 10:22:00,1,1,1,11,342960.0,2.915783427270156e-06,626,2
150,Gap,101.2,2024-02-06 11:19:00,2024-02-07 10:12:00,1,0,0,11,82380.0,1.2138721307097511e-05,77,7
151,PepsiCo,11.74,2024-02-06 11:27:00,2024-02-07 18:23:00,0,1,1,8,111360.0,8.979804419859735e-06,626,2
152,Shunchen Sports Jia,61.72,2024-02-06 11:40:00,2024-02-11 17:52:00,0,0,0,18,454320.0,2.2010868967095954e-06,185,4
153,Shunchen Sports Jia,61.48,2024-02-06 11:41:00,2024-02-12 07:25:00,0,0,1,2,503040.0,1.987909534212917e-06,185,4
154,Pringles,15.29,2024-02-06 12:20:00,2024-02-08 07:00:00,1,1,0,19,153600.0,6.510374281417439e-06,323,3
155,PepsiCo,26.94,2024-02-06 12:45:00,2024-02-10 12:31:00,1,1,0,1,344760.0,2.9005600981549538e-06,626,2
156,PepsiCo,32.0,2024-02-06 12:55:00,2024-02-07 18:06:00,0,1,1,16,105060.0,9.51827985646434e-06,626,2
157,Coca-Cola,10.84,2024-02-06 14:21:00,2024-02-12 16:18:00,0,1,0,11,525420.0,1.9032356909982662e-06,264,3
158,Coca-Cola,24.08,2024-02-06 14:33:00,2024-02-08 11:31:00,0,1,0,10,161880.0,6.177377209184525e-06,264,3
159,PepsiCo,18.92,2024-02-06 16:34:00,2024-02-11 14:23:00,1,1,1,3,424140.0,2.357706517408126e-06,626,2
160,PepsiCo,13.89,2024-02-06 16:43:00,2024-02-09 20:37:00,0,1,0,17,273240.0,3.659772874495409e-06,626,2
161,H&M,129.13,2024-02-06 17:07:00,2024-02-10 13:44:00,1,0,1,17,333420.0,2.99921120745244e-06,96,1
162,PepsiCo,28.47,2024-02-06 17:51:00,2024-02-10 12:28:00,0,1,0,6,326220.0,3.065406580201765e-06,626,2
163,Gap,134.87,2024-02-06 17:59:00,2024-02-10 12:17:00,1,0,0,17,325080.0,3.07615640409621e-06,77,1
164,PepsiCo,22.9,2024-02-06 18:02:00,2024-02-07 17:49:00,0,1,1,21,85620.0,1.1679377722754932e-05,626,5
165,NIKE,226.0,2024-02-06 19:15:00,2024-02-07 07:55:00,0,0,0,12,45600.0,2.1929343654744414e-05,60,6
166,PepsiCo,22.37,2024-02-06 19:18:00,2024-02-08 10:33:00,0,1,1,13,141300.0,7.077090749534682e-06,626,2
167,Uniqlo,142.7,2024-02-06 20:04:00,2024-02-10 00:08:00,0,0,0,8,273840.0,3.651754120091586e-06,158,1
168,361 Du KIDS,58.13,2024-02-06 20:17:00,2024-02-07 20:56:00,0,0,1,8,88740.0,1.126874838011742e-05,58,8
169,H&M,98.6,2024-02-06 20:25:00,2024-02-08 01:39:00,0,0,1,3,105240.0,9.502000171036003e-06,96,7
170,PepsiCo,16.15,2024-02-06 23:35:00,2024-02-12 23:03:00,0,1,1,17,516480.0,1.93617964649232e-06,626,2
171,Pringles,15.04,2024-02-07 00:39:00,2024-02-12 12:24:00,0,1,0,10,474300.0,2.1083657845967012e-06,323,3
172,Pringles,14.93,2024-02-07 01:19:00,2024-02-10 16:11:00,1,1,0,7,312720.0,3.1977385592908695e-06,323,3
173,Uniqlo,149.55,2024-02-07 02:57:00,2024-02-08 03:49:00,0,0,0,17,89520.0,1.1170563331508809e-05,158,7
174,PepsiCo,34.92,2024-02-07 03:06:00,2024-02-12 14:17:00,0,1,0,2,472260.0,2.1174731769085315e-06,626,2
175,PepsiCo,13.99,2024-02-07 04:36:00,2024-02-10 22:18:00,0,1,1,17,322920.0,3.0967326373942854e-06,626,2
176,Pringles,21.73,2024-02-07 04:53:00,2024-02-08 02:28:00,0,1,0,9,77700.0,1.2869847234913321e-05,323,8
177,Uniqlo,177.59,2024-02-07 06:05:00,2024-02-08 13:31:00,0,0,0,5,113160.0,8.836966799515734e-06,158,7
178,PepsiCo,23.77,2024-02-07 07:04:00,2024-02-09 20:16:00,0,1,1,16,220320.0,4.538831976979044e-06,626,2
179,Coca-Cola,13.22,2024-02-07 07:23:00,2024-02-08 15:01:00,1,1,0,7,113880.0,8.78109605640976e-06,264,8
180,361 Du KIDS,74.69,2024-02-07 08:14:00,2024-02-10 06:35:00,1,0,0,10,253260.0,3.948495820517174e-06,58,4
181,Shunchen Sports Jia,56.95,2024-02-07 08:29:00,2024-02-09 22:27:00,0,0,0,14,223080.0,4.482676695908661e-06,185,4
182,Pringles,19.99,2024-02-07 08:46:00,2024-02-12 21:35:00,1,1,0,6,478140.0,2.0914332801412135e-06,323,3
183,PepsiCo,19.42,2024-02-07 09:13:00,2024-02-11 15:02:00,0,1,1,8,366540.0,2.7282077584772234e-06,626,2
184,361 Du KIDS,58.01,2024-02-07 09:18:00,2024-02-12 05:53:00,0,0,0,3,419700.0,2.38264859983655e-06,58,4
185,Shunchen Sports Jia,73.09,2024-02-07 11:48:00,2024-02-11 20:08:00,0,0,0,10,375600.0,2.662399727370268e-06,185,4
186,Pringles,19.02,2024-02-07 12:29:00,2024-02-13 23:57:00,0,1,1,9,559680.0,1.7867320848840679e-06,323,3
187,Shunchen Sports Jia,77.09,2024-02-07 12:40:00,2024-02-11 11:56:00,0,0,1,7,342960.0,2.915783427270156e-06,185,4
188,PepsiCo,24.29,2024-02-07 13:10:00,2024-02-13 20:09:00,1,1,1,17,543540.0,1.8397876149177338e-06,626,2
189,Shunchen Sports Jia,71.4,2024-02-07 13:43:00,2024-02-13 03:25:00,1,0,1,10,481320.0,2.077615562171607e-06,185,4
190,361 Du KIDS,40.79,2024-02-07 13:47:00,2024-02-10 20:33:00,0,0,0,19,283560.0,3.5265780555153915e-06,58,4
191,PepsiCo,21.57,2024-02-07 14:14:00,2024-02-11 14:21:00,1,1,1,3,346020.0,2.8899980059013758e-06,626,2
192,PepsiCo,16.29,2024-02-07 14:36:00,2024-02-12 05:32:00,0,1,0,9,399360.0,2.5040001402240078e-06,626,2
193,PepsiCo,17.48,2024-02-07 15:16:00,2024-02-10 06:37:00,0,1,0,17,228060.0,4.384791788161939e-06,626,2
194,Pringles,11.17,2024-02-07 15:23:00,2024-02-10 07:01:00,1,1,1,16,229080.0,4.365268180250654e-06,323,3
195,Uniqlo,133.59,2024-02-07 15:24:00,2024-02-12 16:40:00,1,0,0,18,436560.0,2.290630633519714e-06,158,1
196,Pringles,18.02,2024-02-07 15:44:00,2024-02-09 08:40:00,1,1,0,10,147360.0,6.786056012106324e-06,323,3
197,Pringles,12.63,2024-02-07 15:50:00,2024-02-12 14:59:00,0,1,0,15,428940.0,2.3313229558377494e-06,323,3
198,Pringles,29.82,2024-02-07 16:20:00,2024-02-11 23:43:00,0,1,1,10,372180.0,2.6868647244217195e-06,323,3
199,PepsiCo,11.3,2024-02-07 16:37:00,2024-02-11 04:33:00,0,1,1,7,302160.0,3.309493945280827e-06,626,2
200,Shunchen Sports Jia,78.68,2024-02-07 19:11:00,2024-02-08 23:39:00,0,0,1,15,102480.0,9.757906343614914e-06,185,8
201,PepsiCo,22.74,2024-02-07 19:28:00,2024-02-13 07:35:00,0,1,1,3,475620.0,2.102514396967333e-06,626,2
202,Pringles,14.71,2024-02-07 21:08:00,2024-02-11 14:06:00,1,1,0,14,320280.0,3.1222582669593264e-06,323,3
203,Pringles,24.03,2024-02-07 21:13:00,2024-02-09 09:58:00,1,1,0,15,132300.0,7.558521855465945e-06,323,8
204,Shunchen Sports Jia,61.5,2024-02-07 22:30:00,2024-02-12 08:21:00,1,0,0,17,381060.0,2.6242517602168683e-06,185,4
205,Uniqlo,134.8,2024-02-07 23:17:00,2024-02-12 14:55:00,1,0,1,7,401880.0,2.4882987750105132e-06,158,1
